"conversation_id_str,""created_at"",""favorite_count"",""full_text"",""id_str"",""image_url"",""in_reply_to_screen_name"",""lang"",""location"",""quote_count"",""reply_count"",""retweet_count"",""tweet_url"",""user_id_str"",""username"""
"1830464956619502080,""Mon Sep 02 04:37:08 +0000 2024"",""3"",""Oh jelas karena bluebird itu murni perusahaan transportasi sedangkan goto grab dll itu adalah perusahaan teknologi business modelnya beda."",""1830464956619502080"","""","""",""in"",""Merantau"",""0"",""0"",""0"",""https://x.com/maspimen/status/1830464956619502080"",""1047853685621968896"",""maspimen"""
"1830366542984556877,""Mon Sep 02 02:44:49 +0000 2024"",""834"",""@goraici Bluebird perusahaan Tbk sudah listing di bursa dan masuk kategori perusahaan transportasi. Bukan macem Goto atau Grab usahanya ada yg anter jemput orang tp ngakunya perusahaan teknologi supaya driver2 dijadiin mitra. Kalau status mitra ya perusahaan ga usa bayar THR "",""1830436689124442171"","""",""goraici"",""in"",""Indonesia"",""2"",""14"",""60"",""https://x.com/yesmar_banu/status/1830436689124442171"",""85495565"",""yesmar_banu"""
"1830366542984556877,""Mon Sep 02 02:16:06 +0000 2024"",""4"",""@goraici padahal harga bluebird bandara ke rumah mirip-mirip harganya. Bluebird bisa inves beli mobil ngegaji karyawan dll sementara Grab Goto kok kayanya berat hidupnya baik perusahaan atau mitranya."",""1830429464674840857"","""",""goraici"",""in"","""",""0"",""0"",""1"",""https://x.com/arief2p/status/1830429464674840857"",""154745500"",""arief2p"""
"1829749891540906380,""Sat Aug 31 05:15:43 +0000 2024"",""0"","" Selama masih berkorelasi antara driver earning sama pendapatan perusahaan pendapat ini sangat benar Kecuali goto nanti jualan produk lain yg ga harus motong2 earning driver lagi"",""1829749891540906380"","""","""",""in"",""Bertapa di toilet"",""0"",""0"",""0"",""https://x.com/pelestesyen/status/1829749891540906380"",""504208634"",""pelestesyen"""
"1829425103723008012,""Fri Aug 30 07:49:28 +0000 2024"",""0"",""Hasilnya matkul itu w dapet B Tp per hari ini bahkan setelah goto 2 tahun ipo buat ebitda positif pun itu perusahaan terseok2"",""1829426192652673184"","""",""PakarMieAyam"",""in"",""221B Baker Street"",""0"",""0"",""0"",""https://x.com/PakarMieAyam/status/1829426192652673184"",""219611265"",""PakarMieAyam"""
"1828773267915857985,""Thu Aug 29 08:07:03 +0000 2024"",""0"",""@apasiiiiiii09 @Alifiandy @ajusss19 @bibahjenner @kegblgnunfaedh Kan liat sikon juga. Investasi kan lg pada cabut. Udh tau goto lg merugi juga. Trus potongan naik emg ojol2 itu ga tau? Kalo tau trus ga terima ya berhenti aja jd ojol. Perusahaan jg harus survive bukan ksh potongan trus ke ojol2"",""1829068230377566574"","""",""apasiiiiiii09"",""in"",""Kolong Jembatan"",""0"",""1"",""0"",""https://x.com/GentongPisang/status/1829068230377566574"",""1256410533474918400"",""GentongPisang"""
"1828773267915857985,""Thu Aug 29 08:01:01 +0000 2024"",""0"",""@ajusss19 @dhi_es_03 @bibahjenner @kegblgnunfaedh Ya udah putus mitra trus mangkal aja. Goto juga perusahaan cok dan rugi trus kok tiap taon. Jd mrk ambil lbh juga bukan buat mrk maruk tp emg investasi luar lg pada cabut post covid. Makanya jgn mau enak sendiri aja."",""1829066711116722285"","""",""ajusss19"",""in"",""Kolong Jembatan"",""0"",""1"",""0"",""https://x.com/GentongPisang/status/1829066711116722285"",""1256410533474918400"",""GentongPisang"""
"1828862558998347789,""Wed Aug 28 18:29:47 +0000 2024"",""0"",""Jika benar2 demo besar2an akan berdampak ke kinerja perusahaan #GOTO termasuk orderan &amp  mungkin juga marketplace Di sisi lain mungkin perusahaan taxi bisa menggunakan kesempatan ini mungkin kini saatnya perusahaan taxi punya armada motor Brp lama? Bgm menurut lo dgn kemacetan? https://t.co/3Apqn2ZAtF"",""1828862558998347789"",""https://pbs.twimg.com/tweet_video_thumb/GWFsy1oasAIP8ZW.jpg"","""",""in"",""Jakarta, Indonesia"",""0"",""0"",""0"",""https://x.com/ari_aditya/status/1828862558998347789"",""76351840"",""ari_aditya"""
"1828300104614478068,""Tue Aug 27 05:14:47 +0000 2024"",""0"",""[COMPANY PROFILE] PT GOTO perusahaan induk yang bergerak di bidang layanan digital dengan 14 anak perusahaan di Indonesia dan beberapa negara lainnya Ada beberapa layanan yang disediakan oleh perusahaan itu loh! Menawarkan infrastruktur teknologi dan solusi bagi semua https://t.co/Go4FL89Gv3"",""1828300104614478068"",""https://pbs.twimg.com/media/GV9tDK9bIAAAF7R.jpg"","""",""in"",""Purwokerto Utara, Indonesia"",""0"",""1"",""0"",""https://x.com/bursaFEBunsoed/status/1828300104614478068"",""1217010523"",""bursaFEBunsoed"""
"1824376287164563918,""Fri Aug 16 09:22:56 +0000 2024"",""0"",""Membaiknya kondisi keuangan GoTo seharusnya menjadi faktor positif namun investor tetap kurang antusias karena harga saham perusahaan menurun. https://t.co/exrdnbWtHc"",""1824376287164563918"","""","""",""in"",""Indonesia"",""0"",""0"",""0"",""https://x.com/TechinAsia_ID/status/1824376287164563918"",""1578524700"",""TechinAsia_ID"""
